NAICS code,Kind of business (sub-parts indicated by one or more leading dots),"Operating expenses, total",Annual payroll,,Total employer cost for fringe benefits²,,Detailed employer costs for fringe benefits²,,,,"Contract labor costs, including temporary help",,Expensed equipment,,Purchases of packaging materials and containers,,"Purchases of other materials, parts, and supplies (not for resale)",,Expensed purchases of software,,Data processing and other purchased computer services,,Commission expense,,Purchased communication services,,Purchased repairs and maintenance to machinery and equipment,,"Purchased repairs and maintenance to buildings, structures, and offices",,Lease and rental payments for machinery and equipment,,"Lease and rental payments for buildings, offices, stores",,Purchased electricity,,Purchased fuels (except motor fuels),,"Water, sewer, refuse removal, and other utility payments",,"Purchased transportation, shipping and warehousing services",,Purchased advertising and promotional services,,Purchased professional and technical services,,Depreciation and amortization charges,,Taxes and license fees,,Other operating expenses4,
,,,Amount,Percent of total,Amount,Percent of total,Health insurance,Defined contribution  plans,Defined benefit pension plans,Other fringe benefits³,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total,Amount,Percent of total
44-45,"Retail Trade, total5 ………………………………………...……………………………………………………………………",916307,394957,43.1,82714,9,32138,5899,3250,41427,6211,0.7,3181,0.3,5802,0.6,15964,1.7,2583,0.3,4425,0.5,7342,0.8,7799,0.9,9144,1,9002,1,3461,0.4,87439,9.5,22524,2.5,2128,0.2,3794,0.4,16392,1.8,53021,5.8,16949,1.8,51193,5.6,17855,1.9,92489,10.1
441,Motor vehicle and parts dealers ………………………………………...………………………………………………………………………,130153,65382,50.2,11700,9,4312,548,110,6729,571,0.4,768,0.6,150,0.1,2475,1.9,467,0.4,1824,1.4,1157,0.9,1040,0.8,907,0.7,1076,0.8,337,0.3,9947,7.6,1889,1.5,468,0.4,434,0.3,964,0.7,9266,7.1,2057,1.6,3950,3,2201,1.7,11126,8.5
4411, Automobile dealers ………………………………………...……………………………………………………………………………………………,92263,46947,50.9,8107,8.8,3008,362,61,4676,305,0.3,564,0.6,90,0.1,1537,1.7,388,0.4,1660,1.8,1011,1.1,612,0.7,535,0.6,800,0.9,228,0.2,6461,7,1236,1.3,287,0.3,273,0.3,538,0.6,7578,8.2,1464,1.6,2442,2.6,1452,1.6,7749,8.4
4413,"Auto parts, access., and tire stores ………………………………………...…………………………………………………………………",27870,13857,49.7,2772,9.9,1015,145,48,1564,S,S,147,0.5,39,0.1,727,2.6,50,0.2,109,0.4,S,S,317,1.1,284,1,189,0.7,96,0.3,2510,9,477,1.7,136,0.5,130,0.5,283,1,1146,4.1,450,1.6,1198,4.3,595,2.1,2113,7.6
442,Furniture and home furnishings stores ………………………………………...…………………………………………………………,34721,12898,37.1,2481,7.1,917,130,19,1416,495,1.4,100,0.3,154,0.4,528,1.5,88,0.3,99,0.3,369,1.1,304,0.9,238,0.7,330,1,114,0.3,5083,14.6,760,2.2,117,0.3,134,0.4,993,2.9,3194,9.2,451,1.3,1345,3.9,616,1.8,3831,11
443,Electronics and appliance stores ………………………………………...……………………………………………………………………,26027,11044,42.4,1986,7.6,666,123,7,1190,208,0.8,73,0.3,46,0.2,453,1.7,114,0.4,51,0.2,S,S,359,1.4,126,0.5,258,1,123,0.5,2941,11.3,392,1.5,48,0.2,74,0.3,552,2.1,1894,7.3,1041,4,1509,5.8,430,1.7,2079,8
444,Building mat. and garden equip. and supplies dealers ………………………………………...…………………………………,74261,35414,47.7,7625,10.3,3572,588,98,3367,474,0.6,392,0.5,150,0.2,1480,2,198,0.3,162,0.2,439,0.6,620,0.8,1102,1.5,748,1,610,0.8,4342,5.8,1671,2.3,334,0.5,290,0.4,1224,1.6,3331,4.5,810,1.1,4738,6.4,1644,2.2,6463,8.7
4441,Building material and supplies dealers…………………………………………………………………………….…………………………,64850,31353,48.3,6864,10.6,3313,541,74,2936,426,0.7,326,0.5,94,0.1,1149,1.8,170,0.3,140,0.2,427,0.7,533,0.8,800,1.2,636,1,476,0.7,3746,5.8,1469,2.3,237,0.4,255,0.4,1081,1.7,2971,4.6,687,1.1,4180,6.4,1464,2.3,5367,8.3
445,Food and beverage stores ………………………………………...………………………………………………………………………………,147801,65074,44,17639,11.9,7688,1136,1281,7534,466,0.3,414,0.3,2224,1.5,2570,1.7,204,0.1,310,0.2,313,0.2,608,0.4,2168,1.5,1459,1,413,0.3,12287,8.3,6275,4.2,446,0.3,812,0.5,1514,1,4818,3.3,1605,1.1,9320,6.3,2435,1.6,14431,9.8
