Table with row headers in column B and NAICS codes in column A with column headers in row 4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Estimated Annual Gross Margin of U.S. Retail Firms by Kind of Business: 1993 Through 2014,,,,,,,,,,,,,,,,,,,,,,,
[Estimates are shown in millions of dollars and are based on data from the Annual Retail Trade Survey.  Estimates have been adjusted using final results of the 2012 Economic Census.],,,,,,,,,,,,,,,,,,,,,,,
NAICS Code,Kind of business,2014.0,2013r,2012r,2011r,2010r,2009r,2008r,2007r,2006r,2005r,2004.0,2003.0,2002.0,2001.0,2000.0,1999.0,1998.0,1997.0,1996.0,1995.0,1994.0,1993.0
,"Retail gross margin, total ………………………………………...…………………………………………………………………………………………………",1284219.0,1234183,1184124,1121967,1077921,974164,1052266,1103384,1073838,1026460,989287.0,920803.0,866593.0,810836.0,821353.0,781867.0,716375.0,681429.0,653770.0,620534.0,590451.0,540822.0
,Total (excl. motor vehicle and parts dealers) ………………………………………...…………………………………………………………………………………………………,1097746.0,1048556,1005010,967837,928718,873607,916304,939319,915082,875505,832988.0,769104.0,717494.0,688892.0,676995.0,634144.0,588641.0,553599.0,527765.0,498933.0,476437.0,443740.0
,GAFO¹ ………………………………………...………………………………………………………………………………………...…………………………,420196.0,410165,399649,389326,380307,355985,367874,385521,377304,365719,350528.0,322601.0,299986.0,286144.0,290782.0,274834.0,252563.0,233147.0,220853.0,212131.0,205485.0,193078.0
441,   Motor vehicle and parts dealers ………………………………………...…………………………………………………………………………………………………,186473.0,185627,179114,154130,149203,100557,135962,164065,158756,150955,156299.0,151699.0,149099.0,121944.0,144358.0,147723.0,127734.0,127830.0,126005.0,121601.0,114014.0,97082.0
4411,   Automobile dealers ………………………………………...…………………………………………………………………………………………………,131346.0,133573,130412,106200,104733,62849,89485,115708,111941,105142,111617.0,113551.0,113406.0,87561.0,109333.0,113102.0,96797.0,97854.0,97467.0,95679.0,89489.0,74904.0
4413,"   Automotive parts, access., and tire stores ………………………………………...…………………………………………………………………………………………………",38177.0,36775,34771,35955,33900,31052,32628,31228,31347,30002,28675.0,25999.0,24914.0,23212.0,23384.0,24614.0,22128.0,21881.0,21168.0,19282.0,18921.0,16874.0
442,   Furniture and home furnishings stores ………………………………………...…………………………………………………………………………………………………,46547.0,44326,42269,40207,39237,37903,43666,51044,52424,50996,49773.0,44995.0,43416.0,40836.0,41007.0,37298.0,33481.0,30883.0,28634.0,26598.0,25909.0,23411.0
443,   Electronics and appliance stores ………………………………………...…………………………………………………………………………………………………,31889.0,30799,31030,25896,29086,26811,28043,29177,28787,27710,26461.0,23992.0,22650.0,20633.0,22296.0,20624.0,18943.0,17464.0,16832.0,16994.0,16233.0,14008.0
