NAICS Code,Kind of business,2014,2013r,2012r,2011r,2010r,2009r,2008r,2007r,2006r,2005r,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
,"Retail purchases, total ………………………………………...…………………………………………………………………………………………………",3368647,3262051,3152692,2995877,2766311,2590833,2860197,2905832,2812282,2673766,2512861,2358362,2283414,2238897,2183504,2048781,1877852,1797968,1718635,1614574,1540524,1414711,1318323
,Total (excl. motor vehicle and parts dealers) ………………………………………...…………………………………………………………………………………………………,2526772,2467198,2420697,2332067,2159424,2053065,2222270,2156285,2070272,1938137,1793778,1657753,1597634,1555185,1519174,1419221,1315836,1267733,1213244,1148666,1102461,1032690,981571
,GAFO¹ ………………………………………...…………………………………………………………………………………………………,822068,810503,796796,769872,740307,720767,758979,760004,739700,698929,664623,626801,616709,593133,578575,547650,509435,481883,463384,443461,419724,386096,358322
441,   Motor vehicle and parts dealers ………………………………………...…………………………………………………………………………………………………,841875,794853,731995,663810,606887,537768,637927,749547,742010,735629,719083,700609,685780,683712,664330,629560,562016,530235,505391,465908,438063,382021,336752
4411,   Automobile dealers ………………………………………...…………………………………………………………………………………………………,748456,703978,645975,582555,530363,461510,548197,653904,648320,644018,632130,618130,607417,609684,589064,559659,496906,469693,448705,413184,388634,337633,296678
4413,"   Automotive parts, access., and tire stores ………………………………………...…………………………………………………………………………………………………",48906,49229,49557,47663,44650,42828,44606,43834,41599,40707,38618,38260,38010,37251,40156,39007,38031,37235,35413,33049,31109,28322,26200
442,   Furniture and home furnishings stores ………………………………………...…………………………………………………………………………………………………,53673,51431,49647,47449,46242,45582,53017,60014,60657,58458,55419,52337,51515,50259,51188,47911,44569,42215,39593,37070,35330,32799,30555
443,   Electronics and appliance stores ………………………………………...…………………………………………………………………………………………………,72065,71853,71723,72990,69844,67896,75855,78051,76658,72895,68895,63142,61965,58908,60418,58875,55494,52028,51355,48886,42435,35751,30669
444,   Building mat. and garden equip. and supplies dealers ………………………………………...…………………………………………………………………………………………………,209953,200519,187595,178404,171330,172972,202700,214574,225228,218125,202482,181160,173968,166447,161604,158985,147703,141118,128691,119997,114431,102629,94732
4441,   Building mat. and supplies dealers ………………………………………...…………………………………………………………………………………………………,178289,170083,158946,152117,146807,148392,174210,187889,200298,193171,178059,157828,151406,143166,139164,137119,125707,119467,109726,103117,98726,88002,79979
445,   Food and beverage stores ………………………………………...…………………………………………………………………………………………………,486714,464986,454010,438146,416451,406539,405067,389580,372699,361463,347553,336196,330870,331302,323619,316442,306233,303012,297568,289692,288350,281244,278551
4451,   Grocery stores ………………………………………...…………………………………………………………………………………………………,439468,420270,410421,396460,375673,366940,365473,350976,336138,326995,314082,304652,300141,300976,294607,289713,280349,277876,273556,266761,265228,258097,255176
