Year,Product,Month,Sales
2008,Furniture,Jan,18048
2008,Technology,Jan,9175
2008,Office Supplies,Jan,10074
2008,Furniture,Feb,17790
2008,Technology,Feb,9196
2008,Office Supplies,Feb,9380
2008,Furniture,Mar,17802
2008,Technology,Mar,9171
2008,Office Supplies,Mar,9355
2008,Furniture,Apr,17892
2008,Technology,Apr,9286
2008,Office Supplies,Apr,9277
2008,Furniture,May,18117
2008,Technology,May,9530
2008,Office Supplies,May,9310
2008,Furniture,June,17778
2008,Technology,June,9305
2008,Office Supplies,June,9308
2008,Furniture,July,17698
2008,Technology,July,9329
2008,Office Supplies,July,9583
2008,Furniture,Aug,17355
2008,Technology,Aug,9201
2008,Office Supplies,Aug,9163
2008,Furniture,Sept,16536
2008,Technology,Sept,8814
2008,Office Supplies,Sept,9080
2008,Furniture,Oct,16467
2008,Technology,Oct,8732
2008,Office Supplies,Oct,8914
2008,Furniture,Nov,16377
2008,Technology,Nov,8737
2008,Office Supplies,Nov,8630
2008,Furniture,Dec,15811
2008,Technology,Dec,8351
2008,Office Supplies,Dec,8564
2009,Furniture,Jan,16247
2009,Technology,Jan,8884
2009,Office Supplies,Jan,8511
2009,Furniture,Feb,16129
2009,Technology,Feb,8844
2009,Office Supplies,Feb,8746
2009,Furniture,Mar,15140
2009,Technology,Mar,8099
2009,Office Supplies,Mar,8615
2009,Furniture,Apr,15116
2009,Technology,Apr,8049
2009,Office Supplies,Apr,8677
2009,Furniture,May,15113
2009,Technology,May,8026
2009,Office Supplies,May,8426
2009,Furniture,June,15131
2009,Technology,June,8039
2009,Office Supplies,June,8465
2009,Furniture,July,15004
2009,Technology,July,7965
2009,Office Supplies,July,8352
2009,Furniture,Aug,14991
2009,Technology,Aug,8000
2009,Office Supplies,Aug,8313
2009,Furniture,Sept,14946
2009,Technology,Sept,7965
2009,Office Supplies,Sept,8385
2009,Furniture,Oct,14835
2009,Technology,Oct,7920
2009,Office Supplies,Oct,8360
2009,Furniture,Nov,15199
2009,Technology,Nov,8208
2009,Office Supplies,Nov,8406
2009,Furniture,Dec,15092
2009,Technology,Dec,8068
2009,Office Supplies,Dec,8591
2010,Furniture,Jan,15243
2010,Technology,Jan,8232
2010,Office Supplies,Jan,8376
2010,Furniture,Feb,15605
2010,Technology,Feb,8482
2010,Office Supplies,Feb,8246
2010,Furniture,Mar,15357
2010,Technology,Mar,8122
2010,Office Supplies,Mar,8706
2010,Furniture,Apr,15410
2010,Technology,Apr,8289
2010,Office Supplies,Apr,8570
2010,Furniture,May,15483
2010,Technology,May,8366
2010,Office Supplies,May,8623
2010,Furniture,June,15564
2010,Technology,June,8492
2010,Office Supplies,June,8802
2010,Furniture,July,15455
2010,Technology,July,8361
2010,Office Supplies,July,8607
2010,Furniture,Aug,15459
2010,Technology,Aug,8329
2010,Office Supplies,Aug,8640
2010,Furniture,Sept,15491
2010,Technology,Sept,8383
2010,Office Supplies,Sept,8776
2010,Furniture,Oct,15304
2010,Technology,Oct,8265
2010,Office Supplies,Oct,8932
2010,Furniture,Nov,15218
2010,Technology,Nov,8114
2010,Office Supplies,Nov,8891
2010,Furniture,Dec,15347
2010,Technology,Dec,8285
2010,Office Supplies,Dec,8898
2011,Furniture,Jan,15210
2011,Technology,Jan,8218
2011,Office Supplies,Jan,8822
2011,Furniture,Feb,15492
2011,Technology,Feb,8347
2011,Office Supplies,Feb,9122
2011,Furniture,Mar,15839
2011,Technology,Mar,8442
2011,Office Supplies,Mar,8848
2011,Furniture,Apr,15850
2011,Technology,Apr,8529
2011,Office Supplies,Apr,9052
2011,Furniture,May,15661
2011,Technology,May,8416
2011,Office Supplies,May,8968
2011,Furniture,June,15657
2011,Technology,June,8430
2011,Office Supplies,June,9073
2011,Furniture,July,15820
2011,Technology,July,8557
2011,Office Supplies,July,9171
2011,Furniture,Aug,15948
2011,Technology,Aug,8615
2011,Office Supplies,Aug,9218
2011,Furniture,Sept,15877
2011,Technology,Sept,8493
2011,Office Supplies,Sept,9159
2011,Furniture,Oct,16098
2011,Technology,Oct,8795
2011,Office Supplies,Oct,9065
2011,Furniture,Nov,16023
2011,Technology,Nov,8638
2011,Office Supplies,Nov,9045
2011,Furniture,Dec,15992
2011,Technology,Dec,8462
2011,Office Supplies,Dec,8875
2012,Furniture,Jan,16150
2012,Technology,Jan,8513
2012,Office Supplies,Jan,9299
2012,Furniture,Feb,16156
2012,Technology,Feb,8529
2012,Office Supplies,Feb,9433
2012,Furniture,Mar,16285
2012,Technology,Mar,8698
2012,Office Supplies,Mar,9184
2012,Furniture,Apr,16069
2012,Technology,Apr,8559
2012,Office Supplies,Apr,9193
2012,Furniture,May,16349
2012,Technology,May,8704
2012,Office Supplies,May,8897
2012,Furniture,June,16220
2012,Technology,June,8668
2012,Office Supplies,June,9090
2012,Furniture,July,16400
2012,Technology,July,8750
