,Retail Sales,,E-commerce,Percent Change,,Percent Change ,,
,(millions of dollars),,as a Percent,From Prior Quarter,,From Same Quarter,,
Quarter,,,of ,,,A Year Ago,,
,Total,E-commerce,Total,       Total ,E-commerce,  Total,E-commerce ,
2nd quarter 2016(p),"1,215,205","91,242",7.5,8.8,5.7,2.1,15.8,
1st quarter 2016(r),"1,116,632","86,351",7.7,-10.6,-20.2,3.3,15.2,
4th quarter 2015,"1,249,081","108,175",8.7,5.1,33.5,1.7,14.8,
3rd quarter 2015,"1,188,363","81,020",6.8,-0.1,2.8,1.6,15.4,
2nd quarter 2015,"1,189,836","78,784",6.6,10.1,5.1,1.1,14.7,
1st quarter 2015,"1,081,022","74,982",6.9,-12.0,-20.4,1.8,14.4,
4th quarter 2014,"1,228,634","94,193",7.7,5.1,34.2,4.2,13.9,
3rd quarter 2014,"1,169,173","70,185",6.0,-0.7,2.2,4.6,15.5,
2nd quarter 2014,"1,176,975","68,685",5.8,10.9,4.8,4.9,15.0,
1st quarter 2014,"1,061,563","65,532",6.2,-10.0,-20.8,2.0,13.0,
4th quarter 2013,"1,178,918","82,700",7.0,5.5,36.1,3.3,12.8,
3rd quarter 2013,"1,117,781","60,772",5.4,-0.4,1.7,4.8,13.6,
2nd quarter 2013,"1,121,857","59,749",5.3,7.8,3.0,4.0,14.4,
1st quarter 2013,"1,040,447","57,985",5.6,-8.8,-20.9,2.4,12.5,
4th quarter 2012,"1,141,069","73,292",6.4,6.9,37.1,4.0,13.7,
3rd quarter 2012,"1,067,067","53,478",5.0,-1.1,2.4,3.9,15.7,
2nd quarter 2012,"1,078,508","52,245",4.8,6.2,1.4,4.3,14.7,
1st quarter 2012,"1,015,585","51,548",5.1,-7.4,-20.1,7.6,16.1,
4th quarter 2011,"1,097,057","64,481",5.9,6.8,39.5,6.5,18.2,
3rd quarter 2011,"1,026,969","46,215",4.5,-0.7,1.5,8.0,14.8,
2nd quarter 2011,"1,034,497","45,543",4.4,9.6,2.6,7.6,17.9,
1st quarter 2011,"943,664","44,384",4.7,-8.4,-18.7,7.7,19.4,
4th quarter 2010,"1,030,295","54,568",5.3,8.3,35.6,6.5,18.7,
3rd quarter 2010,"951,077","40,255",4.2,-1.1,4.2,4.3,16.3,
2nd quarter 2010,"961,240","38,633",4.0,9.7,3.9,6.1,17.0,
1st quarter 2010,"876,229","37,184",4.2,-9.4,-19.1,5.7,14.8,
4th quarter 2009,"966,970","45,954",4.8,6.1,32.8,1.0,15.8,
3rd quarter 2009,"911,593","34,600",3.8,0.7,4.8,-8.8,3.0,
2nd quarter 2009,"905,656","33,025",3.6,9.3,2.0,-11.9,-3.9,
1st quarter 2009,"828,728","32,377",3.9,-13.4,-18.4,-12.8,-5.7,
4th quarter 2008,"957,285","39,670",4.1,-4.3,18.1,-9.7,-6.0,
3rd quarter 2008,"999,873","33,579",3.4,-2.7,-2.2,0.0,3.6,
2nd quarter 2008,"1,028,067","34,351",3.3,8.2,0.0,1.5,8.6,
1st quarter 2008,"950,280","34,342",3.6,-10.4,-18.6,3.1,12.8,
4th quarter 2007,"1,060,394","42,188",4.0,6.0,30.2,4.3,20.0,
3rd quarter 2007,"1,000,151","32,397",3.2,-1.3,2.4,2.5,20.3,
2nd quarter 2007,"1,013,371","31,632",3.1,10.0,3.9,2.9,22.4,
1st quarter 2007,"921,266","30,437",3.3,-9.3,-13.5,3.0,19.3,
4th quarter 2006,"1,016,253","35,170",3.5,4.1,30.6,3.2,25.0,
3rd quarter 2006,"975,835","26,923",2.8,-0.9,4.1,4.0,21.3,
2nd quarter 2006,"984,763","25,852",2.6,10.1,1.3,5.8,23.3,
1st quarter 2006,"894,722","25,513",2.9,-9.1,-9.3,7.1,26.5,
4th quarter 2005,"984,654","28,143",2.9,4.9,26.8,5.2,24.8,
3rd quarter 2005,"938,735","22,198",2.4,0.9,5.9,7.7,27.6,
2nd quarter 2005,"930,721","20,967",2.3,11.4,4.0,6.9,27.0,
1st quarter 2005,"835,173","20,166",2.4,-10.8,-10.6,5.1,24.5,
4th quarter 2004,"936,373","22,554",2.4,7.4,29.7,7.2,25.9,
3rd quarter 2004,"871,982","17,393",2.0,0.2,5.4,5.1,24.9,
2nd quarter 2004,"870,242","16,506",1.9,9.5,1.9,6.3,27.1,
1st quarter 2004,"794,451","16,202",2.0,-9.1,-9.6,7.3,31.0,
4th quarter 2003,"873,870","17,920",2.1,5.3,28.7,5.0,26.4,
3rd quarter 2003,"829,866","13,922",1.7,1.4,7.2,4.9,29.4,
2nd quarter 2003,"818,714","12,982",1.6,10.6,5.0,3.7,28.8,
1st quarter 2003,"740,281","12,365",1.7,-11.1,-12.8,3.4,28.4,
4th quarter 2002,"832,504","14,172",1.7,5.3,31.7,0.8,31.1,
3rd quarter 2002,"790,861","10,761",1.4,0.2,6.8,4.9,38.7,
2nd quarter 2002,"789,424","10,078",1.3,10.3,4.7,1.5,28.9,
1st quarter 2002,"715,763","9,629",1.3,-13.3,-10.9,1.6,22.1,
4th quarter 2001,"825,858","10,806",1.3,9.5,39.3,4.3,19.0,
3rd quarter 2001,"754,174","7,757",1.0,-3.1,-0.8,1.2,12.4,
2nd quarter 2001,"778,035","7,819",1.0,10.5,-0.9,3.5,28.8,
1st quarter 2001,"704,201","7,888",1.1,-11.0,-13.2,1.4,41.8,
4th quarter 2000,"791,509","9,083",1.1,6.2,31.7,3.2,72.5,
3rd quarter 2000,"745,556","6,899",0.9,-0.8,13.7,5.3,NA,
2nd quarter 2000,"751,698","6,069",0.8,8.2,9.1,7.2,NA,
1st quarter 2000,"694,513","5,563",0.8,-9.5,5.6,10.9,NA,
4th quarter 1999,"767,063","5,266",0.7,8.3,NA,8.8,NA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
